ID;CLIENTES POTENC;SUCURSAL;PRODUCTOS;ARTICULOS VISIBLES;ACCESO;PUERTAS;SEGMENTO
388;2;26;82;290;NO;0;B
389;4;28;111;276;NO;1;B
390;4;20;95;280;NO;3;B
391;2;31;113;277;NO;1;A
392;6;39;193;672;NO;4;B
393;2;23;59;184;NO;0;B
394;2;25;98;303;NO;1;B
395;6;39;238;506;NO;3;A
396;4;31;256;419;NO;7;A
397;4;30;188;754;NO;5;B
398;0;3;14;21;NO;0;C
399;4;37;251;458;NO;3;A
400;3;29;112;317;NO;0;B
401;2;16;93;84;NO;0;B
402;3;36;182;463;NO;1;B
403;4;40;237;764;NO;4;A
404;2;33;162;331;NO;1;A
405;2;23;119;372;NO;1;A
406;4;19;75;130;NO;4;B
407;7;48;356;808;NO;9;A
408;3;41;227;353;NO;1;A
409;4;31;185;312;NO;4;B
410;5;43;305;582;NO;3;A
411;2;40;165;350;NO;1;A
412;3;35;165;471;NO;2;B
413;1;23;92;264;NO;0;C
414;4;38;264;426;NO;3;A
415;3;29;142;368;NO;2;B
416;4;23;104;457;NO;3;B
417;2;25;80;180;NO;1;B
418;3;31;117;227;NO;2;B
419;2;34;181;222;NO;1;A
420;3;27;96;408;NO;1;B
421;2;28;135;250;NO;0;B
422;4;33;185;356;NO;0;B
423;3;42;275;458;NO;1;A
424;2;19;78;200;NO;1;B
425;3;26;118;304;NO;1;B
426;3;28;135;279;NO;2;B
427;3;25;106;341;NO;3;B
428;2;31;97;258;NO;1;B
429;3;21;113;255;NO;1;B
430;5;29;157;427;NO;6;B
431;2;23;96;351;NO;2;B
432;2;15;73;153;NO;0;B
433;4;35;197;692;NO;3;B
434;3;45;303;756;NO;2;A
435;2;9;34;44;NO;0;C
436;4;45;188;459;NO;4;B
437;1;24;49;107;NO;0;C
438;2;30;153;314;NO;1;A
439;5;36;223;407;NO;4;A
440;3;38;214;492;NO;1;A
441;1;29;60;112;NO;0;C
442;4;28;139;341;NO;2;B
443;2;39;202;490;NO;0;B
444;2;31;113;193;NO;1;A
445;5;39;213;388;NO;2;A
446;3;31;160;494;NO;1;B
447;3;25;104;315;NO;2;B
448;2;36;179;206;NO;1;A
449;2;22;88;212;NO;1;B
450;2;33;190;578;NO;1;A
451;3;28;197;386;NO;2;B
452;2;31;108;522;NO;0;B
453;4;39;203;486;NO;3;A
454;2;27;107;328;NO;0;B
455;2;21;63;382;NO;0;B
456;2;34;141;759;NO;2;A
457;3;23;88;292;NO;3;B
458;2;33;96;153;NO;0;B
459;1;27;109;157;NO;0;C
460;2;23;83;259;NO;0;B
461;4;41;249;577;NO;3;A
462;2;33;165;610;NO;3;A
463;1;22;64;253;NO;0;C
464;4;38;220;381;NO;1;A
465;2;30;122;360;NO;1;A
466;5;37;229;474;NO;2;A
467;5;38;212;611;NO;9;A
468;3;7;24;93;NO;2;C
469;1;31;116;134;NO;0;C
470;2;20;76;278;NO;1;B
471;3;34;185;314;NO;1;B
472;4;22;165;281;NO;3;B
473;2;26;148;266;NO;0;B
474;4;41;256;716;NO;6;A
475;2;8;31;58;NO;2;C
476;4;16;74;428;NO;2;B
477;5;24;147;404;NO;7;B
478;2;26;139;358;NO;1;A
479;5;37;269;827;NO;10;A
480;2;23;53;376;NO;0;B
481;2;23;83;322;NO;1;B
482;4;24;123;506;NO;2;B
483;3;30;164;388;NO;3;B
484;2;34;125;297;NO;1;A
485;1;17;56;98;NO;0;C
486;7;36;232;516;NO;4;A
487;3;33;214;294;NO;2;A
488;2;17;62;148;NO;1;B
489;7;33;154;333;NO;5;B
490;5;24;121;254;NO;3;B
491;2;25;84;296;NO;0;B
492;6;39;157;300;NO;6;B
493;1;20;55;120;NO;0;C
494;1;15;38;85;NO;0;C
495;5;44;227;559;NO;3;A
496;4;30;116;188;NO;2;B
497;2;31;142;366;NO;1;A
498;1;17;42;89;NO;0;C
499;2;14;34;149;NO;0;B
500;3;35;223;288;NO;3;A
501;3;29;167;253;NO;1;B
502;3;35;237;327;NO;1;A
503;1;3;6;34;NO;0;C
504;3;29;126;289;NO;2;B
505;5;24;139;270;NO;2;B
506;1;7;23;64;NO;1;C
507;2;31;164;186;NO;1;A
508;5;37;233;340;NO;2;A
509;3;30;146;375;NO;1;B
510;3;27;119;539;NO;3;B
511;3;25;122;392;NO;2;B
512;4;34;143;564;NO;3;B
513;2;25;92;377;NO;1;B
514;1;4;5;15;NO;0;C
515;5;35;164;612;NO;4;B
516;3;15;57;89;NO;1;C
517;1;17;46;157;NO;0;C
518;6;12;94;217;NO;5;B
519;2;36;182;234;NO;1;A
520;2;39;213;329;NO;2;A
521;2;30;134;234;NO;1;A
522;5;29;205;364;NO;5;A
523;5;34;189;456;NO;4;B
524;1;5;10;10;NO;0;C
525;6;46;308;504;NO;4;A
526;4;33;161;475;NO;4;B
527;5;46;318;542;NO;7;A
528;2;13;41;102;NO;1;C
529;2;11;77;148;NO;1;B
530;4;25;134;503;NO;3;B
531;2;22;66;403;NO;0;B
532;4;32;177;428;NO;4;B
533;2;38;208;906;NO;2;A
534;5;31;155;604;NO;3;B
535;3;42;274;431;NO;1;A
536;3;27;147;253;NO;3;B
537;3;26;168;464;NO;3;B
538;3;37;182;560;NO;3;B
539;4;32;155;497;NO;3;B
540;4;30;158;469;NO;4;B
541;2;38;133;188;NO;0;B
542;3;39;148;383;NO;2;B
543;4;23;141;382;NO;3;B
544;2;3;10;91;NO;1;C
545;1;32;117;205;NO;0;C
546;4;20;90;317;NO;3;B
547;2;29;131;193;NO;2;A
548;3;26;141;242;NO;0;B
549;6;45;316;715;NO;6;A
550;6;39;264;559;NO;4;A
551;5;35;218;384;NO;3;A
552;5;22;110;478;NO;3;B
553;4;38;225;778;NO;8;A
554;1;16;53;198;NO;0;C
555;3;18;69;124;NO;1;C
556;6;17;115;261;NO;4;B
557;7;9;23;79;NO;0;B
558;2;35;187;252;NO;1;A
559;3;20;96;151;NO;1;B
560;5;28;148;368;NO;3;B
561;6;38;254;581;NO;6;A
562;3;35;210;369;NO;2;A
563;4;18;100;152;NO;1;B
564;3;35;194;251;NO;2;B
565;2;22;127;209;NO;1;A
566;3;31;170;528;NO;2;B
567;5;29;155;495;NO;3;B
568;4;23;92;183;NO;4;B
569;4;26;163;337;NO;3;B
570;3;20;148;190;NO;1;B
571;3;31;194;601;NO;4;B
572;2;24;84;371;NO;1;B
573;1;25;57;231;NO;0;C
574;2;27;147;313;NO;0;B
575;2;16;60;151;NO;1;B
576;1;11;48;59;NO;0;C
577;2;31;152;196;NO;0;B
578;2;35;172;232;NO;0;B
579;1;13;41;121;NO;0;C
580;2;23;81;241;NO;2;B
581;5;29;133;398;NO;4;B
582;2;33;192;290;NO;0;B
583;4;21;95;363;NO;3;B
584;3;39;209;269;NO;2;A
585;3;22;97;421;NO;2;B
586;7;39;287;499;NO;6;A
587;4;15;91;160;NO;2;B
588;6;38;163;314;NO;3;B
589;2;8;42;67;NO;1;C
590;3;33;193;510;NO;2;B
591;3;34;186;358;NO;3;B
592;6;28;184;701;NO;12;B
593;2;15;45;96;NO;1;C
594;2;9;50;134;NO;1;B
595;4;36;199;870;NO;6;B
596;5;34;200;702;NO;4;B
597;1;25;106;156;NO;0;C
598;4;37;187;360;NO;3;B
599;2;21;107;133;NO;0;B
600;1;25;80;153;NO;0;C
601;4;36;156;534;NO;2;B
602;3;9;26;47;NO;1;C
603;2;36;163;247;NO;1;A
604;4;33;124;238;NO;2;B
605;2;11;62;109;NO;1;C
606;3;37;190;302;NO;0;B
607;3;29;187;415;NO;1;B
608;2;37;201;291;NO;1;A
609;3;17;62;175;NO;2;B
610;2;4;9;48;NO;1;C
611;5;42;222;389;NO;2;A
612;5;15;80;332;NO;2;B
613;3;19;102;187;NO;1;B
614;2;29;142;248;NO;0;B
615;2;27;113;344;NO;1;A
616;1;31;96;192;NO;0;C
617;5;19;72;362;NO;3;B
618;3;29;105;355;NO;0;B
619;2;22;100;351;NO;0;B
620;4;43;257;421;NO;3;A
621;5;33;154;400;NO;2;B
622;4;41;250;393;NO;1;A
623;2;21;116;240;NO;1;A
624;2;29;120;287;NO;1;A
625;3;31;115;462;NO;1;B
626;2;34;149;169;NO;0;B
627;3;38;227;369;NO;3;A
628;2;13;103;252;NO;3;B
629;3;35;176;221;NO;2;B
630;1;7;11;26;NO;0;C
631;6;46;321;1385;NO;4;A
632;4;41;216;349;NO;4;A
633;3;22;86;355;NO;0;B
634;2;10;48;99;NO;1;C
635;5;36;192;408;NO;7;B
636;1;2;9;29;NO;1;C
637;2;14;62;107;NO;2;C
638;3;35;181;253;NO;2;B
639;4;36;212;683;NO;4;A
640;2;25;80;305;NO;0;B
641;3;19;73;229;NO;2;B
642;1;13;29;109;NO;0;C
643;1;33;104;409;NO;0;C
644;3;39;214;529;NO;2;A
645;4;20;86;267;NO;3;B
646;6;39;234;554;NO;5;A
647;3;18;107;194;NO;1;B
648;3;35;184;266;NO;1;B
649;4;37;195;264;NO;2;B
650;3;15;73;167;NO;2;B
651;4;38;261;403;NO;3;A
652;3;17;85;162;NO;2;B
653;2;26;134;223;NO;0;B
654;5;28;189;525;NO;3;B
655;3;24;91;384;NO;1;B
656;4;34;231;367;NO;1;A
657;4;33;172;210;NO;3;B
658;2;26;95;294;NO;1;B
659;2;8;23;44;NO;2;C
660;1;27;98;166;NO;0;C
661;3;29;121;257;NO;2;B
662;3;27;189;290;NO;3;B
663;2;35;185;262;NO;1;A
664;2;27;122;367;NO;1;A
665;3;12;42;74;NO;0;C
666;3;11;62;91;NO;2;C
667;5;42;250;634;NO;5;A
668;3;41;233;285;NO;2;A
669;4;33;160;324;NO;3;B
670;3;19;128;207;NO;2;B
671;3;26;110;238;NO;1;B
672;1;15;45;72;NO;0;C
673;2;30;104;178;NO;1;B
674;3;32;181;278;NO;1;B
675;2;5;9;12;NO;0;C
676;2;37;165;345;NO;0;B
677;2;3;8;20;NO;0;C
678;2;15;69;99;NO;1;C
679;4;45;283;502;NO;5;A
680;2;26;145;232;NO;1;A
681;6;37;242;437;NO;3;A
682;3;28;196;338;NO;1;B
683;1;11;41;68;NO;0;C
684;4;35;220;332;NO;3;A
685;3;10;48;108;NO;2;C
686;11;37;239;347;NO;2;A
687;2;32;175;425;NO;1;A
688;3;33;148;304;NO;1;B
689;1;18;53;115;NO;0;C
690;2;40;242;357;NO;0;B
691;3;36;229;324;NO;1;A
692;2;20;110;217;NO;1;B
693;1;14;77;127;NO;1;C
694;2;6;18;74;NO;0;C
695;1;17;81;127;NO;0;C
696;2;26;82;272;NO;1;B
697;4;41;219;267;NO;2;A
698;1;14;56;124;NO;0;C
699;2;8;22;23;NO;1;C
700;6;47;302;640;NO;3;A
701;3;28;131;480;NO;2;B
702;2;21;132;203;NO;2;A
703;1;11;58;154;NO;1;C
704;2;33;149;472;NO;1;A
705;2;26;77;107;NO;0;C
706;4;28;125;137;NO;6;B
707;3;23;80;129;NO;1;B
708;4;12;47;50;NO;3;B
709;3;12;50;85;NO;1;C
710;2;17;46;69;NO;3;C
711;3;16;53;54;NO;2;C
712;4;11;44;54;NO;1;B
713;3;23;104;156;NO;3;B
714;3;16;55;67;NO;1;C
715;2;12;43;37;NO;1;C
716;2;16;64;90;NO;1;C
717;5;13;43;37;NO;2;B
718;1;27;101;189;NO;1;C
719;5;16;59;66;NO;1;B
720;1;5;9;9;NO;1;C
722;3;23;68;87;NO;5;C
723;2;26;71;123;NO;3;C
724;2;9;34;63;NO;3;C
725;4;24;103;176;NO;5;B
726;3;15;42;48;NO;3;C
727;1;2;3;7;NO;0;C
728;5;28;166;427;NO;6;B
729;5;30;137;185;NO;5;B
730;1;29;89;130;NO;0;C
731;2;24;91;195;NO;5;B
732;4;21;96;137;NO;1;B
733;2;13;42;48;NO;0;C
734;2;19;78;93;NO;2;C
735;4;30;114;156;NO;6;B
737;5;26;104;148;NO;4;B
738;4;21;86;106;NO;2;B
739;3;16;37;28;NO;1;C
740;2;14;37;27;NO;2;C
741;2;22;89;104;NO;3;C
742;3;27;120;235;NO;3;B
743;4;19;78;101;NO;1;B
744;1;1;2;1;NO;0;C
745;2;15;48;34;NO;1;C
747;4;2;6;7;NO;2;B
748;2;19;69;255;NO;0;B
749;1;18;64;120;NO;1;C
750;1;15;34;42;NO;0;C
751;1;64;474;720;NO;0;C
752;1;35;221;186;NO;0;C
753;1;53;490;823;NO;0;C
754;1;33;313;474;NO;0;C
755;4;70;712;1478;NO;7;A
756;4;57;503;915;NO;3;A
757;3;42;349;498;NO;2;A
758;4;39;399;679;NO;2;A
759;2;17;164;372;NO;3;A
760;3;52;497;1034;NO;2;A
761;3;54;472;986;NO;4;A
762;5;62;530;1001;NO;4;A
763;4;37;339;596;NO;5;A
764;1;41;339;478;NO;0;C
765;5;49;522;1146;NO;4;A
766;7;48;426;758;NO;5;A
767;4;38;275;450;NO;4;A
768;5;49;537;1163;NO;2;A
769;2;38;372;601;NO;2;A
770;2;49;537;897;NO;1;A
771;4;31;245;422;NO;2;A
772;1;20;92;81;NO;0;C
773;2;47;384;586;NO;2;A
774;2;58;587;1172;NO;5;A
775;1;35;337;560;NO;0;C
776;2;7;35;28;NO;0;C
777;3;51;534;1213;NO;2;A
778;3;20;205;386;NO;2;A
779;2;24;280;471;NO;3;A
780;3;23;154;200;NO;3;B
781;2;3;33;50;NO;1;C
782;2;52;482;765;NO;5;A
783;1;37;329;528;NO;1;A
784;2;7;25;37;NO;1;C
785;1;19;74;81;NO;0;C
786;5;38;382;773;NO;9;A
787;3;34;388;714;NO;5;A
788;4;31;211;352;NO;4;A
789;3;69;491;669;NO;3;A
790;4;60;614;1317;NO;3;A
791;5;33;375;625;NO;3;A
792;2;20;162;298;NO;1;A
793;4;49;519;1171;NO;3;A
794;2;42;398;725;NO;3;A
795;3;59;639;1367;NO;4;A
796;3;38;433;895;NO;3;A
797;6;28;269;485;NO;3;A
798;3;52;441;683;NO;7;A
799;1;57;423;609;NO;1;A
800;1;10;49;78;NO;2;C
801;4;55;560;1182;NO;3;A
802;3;46;405;789;NO;2;A
803;2;10;37;33;NO;0;C
804;3;12;140;276;NO;1;B
805;3;18;113;177;NO;3;B
806;1;55;423;596;NO;1;A
807;3;57;490;910;NO;3;A
808;2;60;492;769;NO;4;A
809;3;31;222;301;NO;1;A
810;4;27;157;214;NO;3;B
811;1;8;19;39;NO;0;C
812;3;32;333;605;NO;1;A
813;4;47;389;637;NO;4;A
814;1;48;302;407;NO;2;A
815;3;20;121;118;NO;2;B
816;2;13;97;158;NO;5;B
817;2;18;174;331;NO;1;A
818;4;37;329;582;NO;2;A
819;2;32;310;637;NO;1;A
